,0,1,2,3,4,5,6,7,8,9,10,11,12
282,establishment,lodging,point_of_interest,,,,,,,,,,
283,route,,,,,,,,,,,,
284,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
285,campground,car_dealer,establishment,lodging,park,point_of_interest,rv_park,storage,store,,,,
286,campground,establishment,lodging,park,point_of_interest,,,,,,,,
287,establishment,point_of_interest,travel_agency,,,,,,,,,,
288,establishment,food,lodging,point_of_interest,restaurant,spa,,,,,,,
289,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
290,premise,,,,,,,,,,,,
291,establishment,point_of_interest,,,,,,,,,,,
292,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
293,cafe,establishment,food,point_of_interest,store,,,,,,,,
294,establishment,point_of_interest,,,,,,,,,,,
295,establishment,lodging,point_of_interest,,,,,,,,,,
296,atm,car_wash,convenience_store,establishment,finance,food,gas_station,point_of_interest,store,,,,
297,atm,cafe,clothing_store,establishment,finance,food,gas_station,grocery_or_supermarket,health,pharmacy,point_of_interest,store,supermarket
298,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
299,establishment,hospital,point_of_interest,,,,,,,,,,
300,establishment,parking,point_of_interest,,,,,,,,,,
301,intersection,,,,,,,,,,,,
302,establishment,parking,point_of_interest,,,,,,,,,,
303,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
304,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
305,establishment,lodging,point_of_interest,,,,,,,,,,
306,route,,,,,,,,,,,,
307,establishment,lodging,point_of_interest,,,,,,,,,,
308,intersection,,,,,,,,,,,,
309,car_dealer,establishment,point_of_interest,store,,,,,,,,,
310,establishment,food,point_of_interest,restaurant,,,,,,,,,
311,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
312,car_dealer,establishment,point_of_interest,store,,,,,,,,,
313,car_dealer,establishment,point_of_interest,store,,,,,,,,,
314,establishment,point_of_interest,university,,,,,,,,,,
315,bar,establishment,lodging,point_of_interest,,,,,,,,,
316,bar,establishment,lodging,point_of_interest,,,,,,,,,
317,establishment,gym,health,lodging,point_of_interest,spa,,,,,,,
318,establishment,food,grocery_or_supermarket,health,point_of_interest,store,supermarket,,,,,,
319,route,,,,,,,,,,,,
320,establishment,point_of_interest,store,,,,,,,,,,
321,street_address,,,,,,,,,,,,
322,route,,,,,,,,,,,,
323,establishment,parking,point_of_interest,,,,,,,,,,
324,bar,establishment,food,point_of_interest,restaurant,,,,,,,,
325,premise,,,,,,,,,,,,
326,establishment,point_of_interest,,,,,,,,,,,
327,establishment,food,liquor_store,point_of_interest,store,,,,,,,,
328,establishment,point_of_interest,,,,,,,,,,,
329,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
330,establishment,parking,point_of_interest,,,,,,,,,,
331,route,,,,,,,,,,,,
332,establishment,food,lodging,point_of_interest,restaurant,spa,,,,,,,
333,establishment,parking,point_of_interest,,,,,,,,,,
334,establishment,parking,point_of_interest,,,,,,,,,,
335,electronics_store,establishment,point_of_interest,store,,,,,,,,,
336,cafe,establishment,food,point_of_interest,store,,,,,,,,
337,cafe,establishment,food,point_of_interest,school,secondary_school,university,,,,,,
338,cafe,establishment,food,point_of_interest,school,secondary_school,university,,,,,,
339,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
340,route,,,,,,,,,,,,
341,car_dealer,establishment,point_of_interest,store,,,,,,,,,
342,bar,establishment,lodging,point_of_interest,spa,,,,,,,,
343,establishment,parking,point_of_interest,,,,,,,,,,
344,establishment,lodging,point_of_interest,premise,,,,,,,,,
345,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
346,establishment,parking,point_of_interest,,,,,,,,,,
347,establishment,point_of_interest,,,,,,,,,,,
348,establishment,gym,health,point_of_interest,,,,,,,,,
349,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
350,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
351,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
352,bar,establishment,food,point_of_interest,restaurant,,,,,,,,
353,establishment,lodging,point_of_interest,spa,,,,,,,,,
354,campground,establishment,lodging,park,point_of_interest,,,,,,,,
355,establishment,health,pharmacy,point_of_interest,store,,,,,,,,
356,intersection,,,,,,,,,,,,
357,establishment,lodging,point_of_interest,,,,,,,,,,
358,establishment,hospital,point_of_interest,,,,,,,,,,
359,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
360,establishment,point_of_interest,shopping_mall,,,,,,,,,,
361,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
362,establishment,food,point_of_interest,restaurant,,,,,,,,,
363,route,,,,,,,,,,,,
364,establishment,parking,point_of_interest,,,,,,,,,,
365,establishment,parking,point_of_interest,,,,,,,,,,
366,car_dealer,establishment,point_of_interest,store,,,,,,,,,
367,convenience_store,establishment,food,gas_station,point_of_interest,store,,,,,,,
368,establishment,parking,point_of_interest,,,,,,,,,,
369,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
370,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
371,establishment,food,point_of_interest,,,,,,,,,,
372,establishment,food,point_of_interest,,,,,,,,,,
373,establishment,gas_station,point_of_interest,,,,,,,,,,
375,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
376,establishment,point_of_interest,,,,,,,,,,,
377,establishment,point_of_interest,,,,,,,,,,,
378,establishment,point_of_interest,,,,,,,,,,,
379,route,,,,,,,,,,,,
380,establishment,hospital,point_of_interest,,,,,,,,,,
381,establishment,food,point_of_interest,restaurant,,,,,,,,,
382,route,,,,,,,,,,,,
383,establishment,hospital,point_of_interest,,,,,,,,,,
384,route,,,,,,,,,,,,
385,establishment,parking,point_of_interest,,,,,,,,,,
386,establishment,parking,point_of_interest,,,,,,,,,,
387,establishment,parking,point_of_interest,,,,,,,,,,
388,establishment,parking,point_of_interest,,,,,,,,,,
389,establishment,parking,point_of_interest,,,,,,,,,,
390,establishment,point_of_interest,train_station,transit_station,,,,,,,,,
391,establishment,parking,point_of_interest,,,,,,,,,,
392,establishment,parking,point_of_interest,,,,,,,,,,
393,street_address,,,,,,,,,,,,
394,bar,establishment,point_of_interest,,,,,,,,,,
395,route,,,,,,,,,,,,
396,premise,,,,,,,,,,,,
397,establishment,point_of_interest,,,,,,,,,,,
398,establishment,finance,point_of_interest,,,,,,,,,,
399,establishment,gas_station,point_of_interest,,,,,,,,,,
400,establishment,parking,point_of_interest,,,,,,,,,,
401,establishment,point_of_interest,,,,,,,,,,,
402,establishment,parking,point_of_interest,,,,,,,,,,
403,establishment,park,point_of_interest,,,,,,,,,,
404,car_dealer,car_repair,establishment,finance,point_of_interest,store,,,,,,,
405,atm,cafe,clothing_store,establishment,finance,food,gas_station,grocery_or_supermarket,health,pharmacy,point_of_interest,store,supermarket
406,establishment,general_contractor,point_of_interest,,,,,,,,,,
407,establishment,point_of_interest,store,,,,,,,,,,
408,establishment,point_of_interest,,,,,,,,,,,
409,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
410,establishment,point_of_interest,train_station,transit_station,,,,,,,,,
411,route,,,,,,,,,,,,
412,route,,,,,,,,,,,,
413,route,,,,,,,,,,,,
414,establishment,furniture_store,home_goods_store,point_of_interest,store,,,,,,,,
415,establishment,point_of_interest,,,,,,,,,,,
416,street_address,,,,,,,,,,,,
417,atm,clothing_store,establishment,finance,food,gas_station,grocery_or_supermarket,health,pharmacy,point_of_interest,store,supermarket,
418,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
419,doctor,establishment,food,grocery_or_supermarket,health,point_of_interest,store,supermarket,,,,,
420,establishment,parking,point_of_interest,,,,,,,,,,
421,establishment,point_of_interest,transit_station,,,,,,,,,,
422,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
423,establishment,point_of_interest,,,,,,,,,,,
424,atm,cafe,clothing_store,establishment,finance,food,gas_station,grocery_or_supermarket,health,pharmacy,point_of_interest,store,supermarket
425,establishment,gym,health,point_of_interest,,,,,,,,,
426,car_dealer,establishment,point_of_interest,store,,,,,,,,,
427,car_dealer,establishment,point_of_interest,store,,,,,,,,,
428,car_dealer,establishment,point_of_interest,store,,,,,,,,,
429,establishment,food,gas_station,grocery_or_supermarket,point_of_interest,store,,,,,,,
430,atm,clothing_store,establishment,finance,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,
431,establishment,local_government_office,point_of_interest,,,,,,,,,,
432,establishment,health,point_of_interest,,,,,,,,,,
433,subpremise,,,,,,,,,,,,
434,street_address,,,,,,,,,,,,
435,establishment,point_of_interest,,,,,,,,,,,
436,route,,,,,,,,,,,,
437,establishment,point_of_interest,,,,,,,,,,,
438,car_dealer,establishment,point_of_interest,store,,,,,,,,,
439,car_dealer,establishment,point_of_interest,store,,,,,,,,,
440,car_dealer,car_repair,establishment,point_of_interest,store,,,,,,,,
441,establishment,point_of_interest,,,,,,,,,,,
442,atm,car_wash,convenience_store,establishment,finance,food,gas_station,point_of_interest,store,,,,
443,establishment,food,lodging,point_of_interest,restaurant,,,,,,,,
444,establishment,gym,health,point_of_interest,,,,,,,,,
446,establishment,point_of_interest,train_station,transit_station,,,,,,,,,
447,bar,establishment,food,lodging,point_of_interest,restaurant,,,,,,,
448,establishment,parking,point_of_interest,,,,,,,,,,
449,establishment,point_of_interest,train_station,transit_station,,,,,,,,,
450,establishment,point_of_interest,tourist_attraction,,,,,,,,,,
451,establishment,point_of_interest,tourist_attraction,,,,,,,,,,
452,establishment,parking,point_of_interest,,,,,,,,,,
453,establishment,point_of_interest,shopping_mall,,,,,,,,,,
454,intersection,,,,,,,,,,,,
455,establishment,parking,point_of_interest,,,,,,,,,,
456,premise,,,,,,,,,,,,
457,car_dealer,establishment,point_of_interest,store,,,,,,,,,
458,route,,,,,,,,,,,,
459,establishment,parking,point_of_interest,,,,,,,,,,
460,establishment,food,meal_takeaway,point_of_interest,restaurant,,,,,,,,
461,street_address,,,,,,,,,,,,
462,establishment,parking,point_of_interest,,,,,,,,,,
463,car_dealer,establishment,point_of_interest,store,,,,,,,,,
464,establishment,parking,point_of_interest,,,,,,,,,,
465,subpremise,,,,,,,,,,,,
466,premise,,,,,,,,,,,,
467,establishment,parking,point_of_interest,,,,,,,,,,
468,street_address,,,,,,,,,,,,
469,establishment,parking,point_of_interest,,,,,,,,,,
470,establishment,point_of_interest,transit_station,,,,,,,,,,
471,doctor,establishment,food,grocery_or_supermarket,health,point_of_interest,store,supermarket,,,,,
472,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
473,establishment,gym,health,point_of_interest,,,,,,,,,
474,car_wash,convenience_store,establishment,food,gas_station,point_of_interest,store,,,,,,
475,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,,
476,street_address,,,,,,,,,,,,
477,establishment,gas_station,point_of_interest,,,,,,,,,,
478,establishment,point_of_interest,,,,,,,,,,,
479,convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,store,supermarket,,,,,,
480,premise,,,,,,,,,,,,
481,establishment,food,point_of_interest,restaurant,,,,,,,,,
482,atm,cafe,clothing_store,establishment,finance,food,grocery_or_supermarket,health,pharmacy,point_of_interest,store,supermarket,
483,establishment,parking,point_of_interest,,,,,,,,,,
484,establishment,parking,point_of_interest,,,,,,,,,,
485,establishment,parking,point_of_interest,,,,,,,,,,
486,establishment,parking,point_of_interest,,,,,,,,,,
